"","USPS","date","incidD","state"
"487","AK",2021-05-22,0,"Alaska"
"488","AK",2021-05-23,0,"Alaska"
"489","AK",2021-05-24,0,"Alaska"
"490","AK",2021-05-25,0,"Alaska"
"491","AK",2021-05-26,0,"Alaska"
"492","AK",2021-05-27,0,"Alaska"
"493","AK",2021-05-28,0,"Alaska"
"494","AK",2021-05-29,0,"Alaska"
"495","AK",2021-05-30,0,"Alaska"
"496","AK",2021-05-31,0,"Alaska"
"497","AK",2021-06-01,0,"Alaska"
"498","AK",2021-06-02,0,"Alaska"
"499","AK",2021-06-03,0,"Alaska"
"500","AK",2021-06-04,0,"Alaska"
"501","AK",2021-06-05,0,"Alaska"
"502","AK",2021-06-06,0,"Alaska"
"503","AK",2021-06-07,0,"Alaska"
"504","AK",2021-06-08,0,"Alaska"
"505","AK",2021-06-09,0,"Alaska"
"506","AK",2021-06-10,0,"Alaska"
"507","AK",2021-06-11,4,"Alaska"
"508","AK",2021-06-12,0,"Alaska"
"509","AK",2021-06-13,0,"Alaska"
"510","AK",2021-06-14,0,"Alaska"
"511","AK",2021-06-15,0,"Alaska"
"512","AK",2021-06-16,0,"Alaska"
"513","AK",2021-06-17,0,"Alaska"
"514","AK",2021-06-18,0,"Alaska"
"515","AK",2021-06-19,0,"Alaska"
"516","AK",2021-06-20,0,"Alaska"
"517","AK",2021-06-21,0,"Alaska"
"518","AK",2021-06-22,0,"Alaska"
"519","AK",2021-06-23,1,"Alaska"
"520","AK",2021-06-24,0,"Alaska"
"521","AK",2021-06-25,0,"Alaska"
"522","AK",2021-06-26,0,"Alaska"
"523","AK",2021-06-27,0,"Alaska"
"524","AK",2021-06-28,0,"Alaska"
"525","AK",2021-06-29,0,"Alaska"
"526","AK",2021-06-30,3,"Alaska"
"527","AK",2021-07-01,0,"Alaska"
"528","AK",2021-07-02,0,"Alaska"
"529","AK",2021-07-03,0,"Alaska"
"530","AK",2021-07-04,0,"Alaska"
"531","AK",2021-07-05,0,"Alaska"
"532","AK",2021-07-06,0,"Alaska"
"533","AK",2021-07-07,0,"Alaska"
"534","AK",2021-07-08,0,"Alaska"
"535","AK",2021-07-09,2,"Alaska"
"536","AK",2021-07-10,0,"Alaska"
"537","AK",2021-07-11,0,"Alaska"
"538","AK",2021-07-12,2,"Alaska"
"539","AK",2021-07-13,0,"Alaska"
"540","AK",2021-07-14,0,"Alaska"
"541","AK",2021-07-15,0,"Alaska"
"542","AK",2021-07-16,0,"Alaska"
"543","AK",2021-07-17,0,"Alaska"
"544","AK",2021-07-18,0,"Alaska"
"545","AK",2021-07-19,0,"Alaska"
"546","AK",2021-07-20,0,"Alaska"
"547","AK",2021-07-21,1,"Alaska"
"548","AK",2021-07-22,0,"Alaska"
"549","AK",2021-07-23,2,"Alaska"
"550","AK",2021-07-24,0,"Alaska"
"551","AK",2021-07-25,0,"Alaska"
"552","AK",2021-07-26,0,"Alaska"
"553","AK",2021-07-27,0,"Alaska"
"554","AK",2021-07-28,2,"Alaska"
"555","AK",2021-07-29,0,"Alaska"
"556","AK",2021-07-30,3,"Alaska"
"557","AK",2021-07-31,0,"Alaska"
"558","AK",2021-08-01,0,"Alaska"
"559","AK",2021-08-02,0,"Alaska"
"560","AK",2021-08-03,2,"Alaska"
"561","AK",2021-08-04,2,"Alaska"
"562","AK",2021-08-05,5,"Alaska"
"563","AK",2021-08-06,0,"Alaska"
"564","AK",2021-08-07,0,"Alaska"
"565","AK",2021-08-08,0,"Alaska"
"566","AK",2021-08-09,1,"Alaska"
"567","AK",2021-08-10,1,"Alaska"
"568","AK",2021-08-11,0,"Alaska"
"569","AK",2021-08-12,3,"Alaska"
"570","AK",2021-08-13,0,"Alaska"
"571","AK",2021-08-14,0,"Alaska"
"572","AK",2021-08-15,0,"Alaska"
"573","AK",2021-08-16,0,"Alaska"
"574","AK",2021-08-17,5,"Alaska"
"575","AK",2021-08-18,4,"Alaska"
"576","AK",2021-08-19,0,"Alaska"
"577","AK",2021-08-20,2,"Alaska"
"578","AK",2021-08-21,0,"Alaska"
"579","AK",2021-08-22,0,"Alaska"
"580","AK",2021-08-23,0,"Alaska"
"581","AK",2021-08-24,13,"Alaska"
"582","AK",2021-08-25,11,"Alaska"
"583","AK",2021-08-26,0,"Alaska"
"584","AK",2021-08-27,0,"Alaska"
"585","AK",2021-08-28,0,"Alaska"
"586","AK",2021-08-29,0,"Alaska"
"587","AK",2021-08-30,0,"Alaska"
"588","AK",2021-08-31,6,"Alaska"
"589","AK",2021-09-01,4,"Alaska"
"590","AK",2021-09-02,0,"Alaska"
"591","AK",2021-09-03,0,"Alaska"
"592","AK",2021-09-04,0,"Alaska"
"593","AK",2021-09-05,0,"Alaska"
"594","AK",2021-09-06,0,"Alaska"
"595","AK",2021-09-07,2,"Alaska"
"596","AK",2021-09-08,6,"Alaska"
"597","AK",2021-09-09,0,"Alaska"
"598","AK",2021-09-10,2,"Alaska"
"599","AK",2021-09-11,0,"Alaska"
"600","AK",2021-09-12,0,"Alaska"
"601","AK",2021-09-13,1,"Alaska"
"602","AK",2021-09-14,7,"Alaska"
"603","AK",2021-09-15,2,"Alaska"
"604","AK",2021-09-16,0,"Alaska"
"605","AK",2021-09-17,1,"Alaska"
"606","AK",2021-09-18,0,"Alaska"
"607","AK",2021-09-19,0,"Alaska"
"608","AK",2021-09-20,5,"Alaska"
"609","AK",2021-09-21,6,"Alaska"
"610","AK",2021-09-22,1,"Alaska"
"611","AK",2021-09-23,7,"Alaska"
"612","AK",2021-09-24,44,"Alaska"
"613","AK",2021-09-25,0,"Alaska"
"614","AK",2021-09-26,0,"Alaska"
"615","AK",2021-09-27,21,"Alaska"
"616","AK",2021-09-28,10,"Alaska"
"617","AK",2021-09-29,4,"Alaska"
"618","AK",2021-09-30,10,"Alaska"
"619","AK",2021-10-01,1,"Alaska"
"620","AK",2021-10-02,0,"Alaska"
"621","AK",2021-10-03,0,"Alaska"
"622","AK",2021-10-04,1,"Alaska"
"623","AK",2021-10-05,3,"Alaska"
"624","AK",2021-10-06,3,"Alaska"
"625","AK",2021-10-07,5,"Alaska"
"626","AK",2021-10-08,1,"Alaska"
"627","AK",2021-10-09,0,"Alaska"
"628","AK",2021-10-10,0,"Alaska"
"629","AK",2021-10-11,4,"Alaska"
"630","AK",2021-10-12,16,"Alaska"
"631","AK",2021-10-13,0,"Alaska"
"632","AK",2021-10-14,2,"Alaska"
